,Quarter,Sharpe,ID
17,2017Q2,0.807927461504,133858
18,2017Q3,0.505763530278,133858
19,2017Q4,0.0312964516516,133858
0,2013Q1,0.0,130498
1,2013Q2,0.0,130498
2,2013Q3,0.0,130498
3,2013Q4,0.0,130498
4,2014Q1,0.0,130498
5,2014Q2,-0.00805934748855,130498
6,2014Q3,0.0443883198825,130498
7,2014Q4,0.158682712114,130498
8,2015Q1,0.131800881799,130498
9,2015Q2,-0.181137163201,130498
10,2015Q3,-0.138208324099,130498
11,2015Q4,-0.258289932413,130498
12,2016Q1,-0.535300906202,130498
13,2016Q2,0.286573781327,130498
14,2016Q3,0.358073592863,130498
15,2016Q4,-0.176584901678,130498
16,2017Q1,0.158251220656,130498
17,2017Q2,0.362408454145,130498
18,2017Q3,0.113137535618,130498
19,2017Q4,0.119729269833,130498
0,2013Q1,-0.181588043144,100664
1,2013Q2,-0.0846796397865,100664
2,2013Q3,-0.117169083641,100664
3,2013Q4,0.198687118859,100664
4,2014Q1,0.0906612425387,100664
5,2014Q2,0.445140840061,100664
6,2014Q3,0.495893572859,100664
7,2014Q4,0.264690102375,100664
8,2015Q1,0.314150074714,100664
9,2015Q2,-0.132868599998,100664
10,2015Q3,-0.0356008764637,100664
11,2015Q4,-0.218263270079,100664
12,2016Q1,-0.423590723209,100664
13,2016Q2,0.246772005323,100664
14,2016Q3,0.334008077756,100664
15,2016Q4,-0.186762997376,100664
16,2017Q1,0.126172485634,100664
17,2017Q2,0.344106851473,100664
18,2017Q3,0.113499283718,100664
19,2017Q4,0.161577670979,100664
0,2013Q1,0.414724678062,119731
1,2013Q2,-0.286304615516,119731
2,2013Q3,0.601275453811,119731
3,2013Q4,0.506327443248,119731
4,2014Q1,0.33650284812,119731
5,2014Q2,-0.213637367321,119731
6,2014Q3,0.526347164926,119731
7,2014Q4,0.346416352533,119731
8,2015Q1,0.279911454148,119731
9,2015Q2,-0.323555853695,119731
10,2015Q3,-0.650334620537,119731
11,2015Q4,-0.016729598148,119731
12,2016Q1,-0.197027930685,119731
13,2016Q2,0.0818353263674,119731
14,2016Q3,-0.0646242254504,119731
15,2016Q4,-0.239495853501,119731
16,2017Q1,0.0202293578089,119731
17,2017Q2,-0.126761368865,119731
18,2017Q3,-0.00407449838131,119731
19,2017Q4,0.194003422519,119731
0,2013Q1,0.0,135812
1,2013Q2,0.0,135812
2,2013Q3,0.0,135812
3,2013Q4,0.0,135812
4,2014Q1,0.0,135812
5,2014Q2,0.0,135812
6,2014Q3,0.0,135812
7,2014Q4,0.0,135812
8,2015Q1,0.0,135812
9,2015Q2,0.0,135812
10,2015Q3,0.0,135812
11,2015Q4,-0.0191664125534,135812
12,2016Q1,-0.283108200863,135812
13,2016Q2,-0.406129325504,135812
14,2016Q3,0.145537414288,135812
15,2016Q4,-0.498018837193,135812
16,2017Q1,-0.338190578349,135812
17,2017Q2,-0.0432628743255,135812
18,2017Q3,-0.512436327688,135812
19,2017Q4,0.0441556013061,135812
0,2013Q1,-0.160465780984,100475
1,2013Q2,-0.143252937122,100475
2,2013Q3,-0.0714153858086,100475
3,2013Q4,0.288123092697,100475
4,2014Q1,0.0508775139498,100475
5,2014Q2,0.507018242107,100475
6,2014Q3,0.512199459372,100475
7,2014Q4,0.22141902541,100475
8,2015Q1,0.340939164694,100475
9,2015Q2,-0.199615644045,100475
10,2015Q3,0.0117869266287,100475
11,2015Q4,-0.245779799022,100475
12,2016Q1,-0.430589925203,100475
13,2016Q2,0.254498578088,100475
14,2016Q3,0.408066960699,100475
15,2016Q4,-0.224578318276,100475
16,2017Q1,0.0986167809017,100475
17,2017Q2,0.333693295236,100475
18,2017Q3,0.187674170091,100475
19,2017Q4,0.108136925371,100475
0,2013Q1,-0.109128230405,120576
1,2013Q2,0.165537404183,120576
2,2013Q3,0.0292435905485,120576
3,2013Q4,-0.0510728213211,120576
4,2014Q1,-0.0185543287161,120576
5,2014Q2,0.163515732179,120576
6,2014Q3,0.253726401366,120576
7,2014Q4,0.249141216314,120576
8,2015Q1,0.152735759063,120576
9,2015Q2,-0.157810946909,120576
10,2015Q3,0.028051102317,120576
11,2015Q4,0.0258013352599,120576
12,2016Q1,-0.201786674172,120576
13,2016Q2,0.153492369052,120576
14,2016Q3,0.300493117413,120576
15,2016Q4,-0.24293201916,120576
16,2017Q1,0.134013637886,120576
17,2017Q2,0.346105913183,120576
18,2017Q3,0.107682757084,120576
19,2017Q4,0.255316867595,120576
0,2013Q1,-0.113499786438,103616
1,2013Q2,-0.127291635742,103616
2,2013Q3,-0.302644703685,103616
3,2013Q4,0.377896137467,103616
